m	u	d	a1	a2	a3	match
1	1	1	d1111	d1112	d1113	0
1	1	2	d1121	d1122	d1123	0
1	2	1	d1211	d1212	d1213	0
1	2	2	d1221	d1222	d1223	1
1	3	1	d1311	d1312	d1313	1
1	3	2	d1321	d1322	d1323	1
2	1	1	d2111	d2112	d2113	0
2	1	2	d2121	d2122	d2123	1
2	1	3	d2131	d2132	d2133	0
2	2	1	d2211	d2212	d2213	0
2	2	2	d2221	d2222	d2223	1
2	2	3	d2231	d2232	d2233	0
3	1	1	d3111	d3112	d3113	1
3	1	2	d3121	d3122	d3123	1
3	1	3	d3131	d3132	d3133	0
3	1	4	d3141	d3142	d3143	0
3	2	1	d3211	d3212	d3213	1
3	2	2	d3221	d3222	d3223	0
3	2	3	d3231	d3232	d3233	1
3	2	4	d3241	d3242	d3243	1
3	3	1	d3311	d3312	d3313	1
3	3	2	d3321	d3322	d3323	0
3	3	3	d3331	d3332	d3333	1
3	3	4	d3341	d3342	d3343	0
3	4	1	d3411	d3412	d3413	1
3	4	2	d3421	d3422	d3423	1
3	4	3	d3431	d3432	d3433	1
3	4	4	d3441	d3442	d3443	1
